conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1844673457042198533,Fri Oct 11 09:36:39 +0000 2024,0,eh kocak kalo mau nyari hiburan ya kau jalan-jalan lah ngapain minta pak Komeng dikira dia kerja buat jadi badut?,1844673457042198533,,,in,shipper cemara dni,0,0,0,https://x.com/indeolmi/status/1844673457042198533,1485196932750659587,indeolmi
1844400916524564761,Fri Oct 11 09:33:48 +0000 2024,0,@bresqapotu19 @opposite6892 Goblok.komeng berpendidikan woi.dia S3.aing nu milih dapil jabar,1844672739749294538,,bresqapotu19,in,,0,1,0,https://x.com/Ogih274992/status/1844672739749294538,1811232054119714816,Ogih274992
1844672735236300961,Fri Oct 11 09:33:47 +0000 2024,124,Jumat siang sandra dewi cat 2 sma 70 botol jepang ready vcs nya haram komeng #beritaViral ketemu wasit #afcmafia https://t.co/TkVageIH0W,1844672735236300961,https://pbs.twimg.com/media/GZmYE3uakAAhR3J.jpg,,in,,0,32,16,https://x.com/bbycelups/status/1844672735236300961,1823309089654685696,bbycelups
1844377699374203234,Fri Oct 11 09:33:37 +0000 2024,0,@kegblgnunfaedh Bagus komeng berani protes Krn bukan bidangnya.. ada harapan besar pada Komeng,1844672697067827347,,kegblgnunfaedh,in,"Samarinda, Indonesia ",0,0,0,https://x.com/bekisahaja/status/1844672697067827347,1701086141787836416,bekisahaja
1844668149616214204,Fri Oct 11 09:33:14 +0000 2024,8,@NarasiNewsroom Siapa yg milih org ini ? Ga malu pada pilihan saudara saudari..udah jelas Komeng dari awal konsen ke seni budaya.....di kasih pulak ke pertanian..alasan nya karna komisi pertanian pengin dia supaya disana...kan ga cerdas kali org ini...,1844672597696688409,,NarasiNewsroom,in,,0,1,0,https://x.com/reincarnasi2/status/1844672597696688409,1604345001307426817,reincarnasi2
1844347587928916061,Fri Oct 11 09:32:41 +0000 2024,0,@AanSaputraa_ @Heraloebss komeng ngejabat DPD serius kocak malah dipindah biar jadi penghibur,1844672461196968373,,AanSaputraa_,in,,0,0,0,https://x.com/kaulosundo/status/1844672461196968373,1654522278208765953,kaulosundo
1844400916524564761,Fri Oct 11 09:28:40 +0000 2024,0,@opposite6892 Apa itu pesanan ya.kalo Komeng ngotot minta dikebudayaan dan itu TDK terealisasi dan Komeng mundur dari keanggotaan bisa2 digeser/ diganti yg lain,1844671450965537266,,opposite6892,in,,0,0,0,https://x.com/Sugianto194770/status/1844671450965537266,1750737497276203008,Sugianto194770
1844574448885825717,Fri Oct 11 09:27:21 +0000 2024,0,@tempodotco Hahahahahahaha. Terus kamu Komeng mau ngapain disana,1844671118021423579,,tempodotco,in,,0,0,0,https://x.com/maulana_haq75/status/1844671118021423579,1808690730665455616,maulana_haq75
1844671092159385731,Fri Oct 11 09:27:15 +0000 2024,0,Itu siapa yg jaeab goboi sekali. Hebat bro komeng.,1844671092159385731,,,in,"Solo, Indonesia",0,0,0,https://x.com/hannysetiawan/status/1844671092159385731,92409882,hannysetiawan
1844485700680548365,Fri Oct 11 09:26:20 +0000 2024,0,@internetarchive Tuh kena DDOS cenah @komeng,1844670862609592501,,internetarchive,in,Botswana,0,0,0,https://x.com/el__piji/status/1844670862609592501,259316183,el__piji
